HSN,Description,UQC,Total Quantity,Total Value,Taxable Value,Integrated Tax Amount,Central Tax Amount,State/UT Tax Amount,Cess Amount,Rate
73239990,,NOS-Numbers,40.00,5816.94,4929.60,0.00,443.67,443.67,0.00,18
74181022,,NOS-Numbers,30.00,3744.72,3173.50,0.00,285.61,285.61,0.00,18
7607,,NOS-Numbers,3.00,1306.48,1107.18,0.00,99.65,99.65,0.00,18
76071991,,NOS-Numbers,24.00,6299.94,5338.92,0.00,480.51,480.51,0.00,18
8506,,NOS-Numbers,45.00,3526.56,2988.60,0.00,268.98,268.98,0.00,18
85061000,,NOS-Numbers,28.00,473.78,401.50,0.00,36.14,36.14,0.00,18
96032100,,NOS-Numbers,100.00,1730.40,1648.00,0.00,41.20,41.20,0.00,5
96151900,,NOS-Numbers,80.00,2100.00,2000.00,0.00,50.00,50.00,0.00,5
96190090,,NOS-Numbers,24.00,930.02,885.72,0.00,22.15,22.15,0.00,5
96190096,,NOS-Numbers,84.00,3365.78,3205.50,0.00,80.14,80.14,0.00,5
